tweet_id	tweet_datetime	tweet_unixtime	artist_name	track_title	country
623	2012-03-29 04:10:19	1332987019	Guided by Voices	Teenage FBI	GB
579	2012-03-29 04:00:20	1332986420	Guillemots	Get Over It	GB
785	2012-08-01 15:13:19	1343826799	Halestorm	I Get Off	GB
26	2012-02-09 00:49:42	1328744982	Happy Mondays	Loose Fit	GB
600	2012-03-29 04:03:45	1332986625	Hooray for Earth	No Love	GB
534	2012-03-29 03:53:45	1332986025	Jack Savoretti	Knock Knock	GB
443	2012-03-29 03:41:54	1332985314	Jack White	Sixteen Saltines	GB
644	2012-03-29 04:13:01	1332987181	James Morrison	One Life	GB
403	2012-02-09 01:56:20	1328748980	Japan	Quiet Life	GB
718	2012-03-29 04:26:51	1332988011	Jason Mraz	I Won't Give Up	GB
596	2012-02-09 02:26:23	1328750783	Jessie J	Domino	GB
922	2012-02-09 03:26:58	1328754418	Jimmy Cliff	The Harder They Come	GB
404	2012-03-29 03:35:46	1332984946	JLS	Proud	GB
732	2012-03-29 04:29:02	1332988142	Joker	Lost	GB
1005	2012-01-20 13:49:20	1327063760	Jona Lewie	You'll Always Find Me in the Kitchen at Parties	GB
767	2012-03-29 04:34:02	1332988442	Katy Perry	Part of Me	GB
695	2012-02-09 02:43:48	1328751828	Kiki Dee	Star	GB
542	2012-03-29 03:55:08	1332986108	Laura Cantrell	Oh So Many Years	GB
793	2012-03-29 04:37:12	1332988632	Laura Marling	All My Rage	GB
181	2012-03-29 02:58:57	1332982737	Leonard Cohen	Different Sides	GB
258	2012-02-09 01:34:10	1328747650	Lloyd Cole	Lost Weekend	GB
559	2012-03-29 03:57:09	1332986229	Lorna Bennett	Breakfast in Bed	GB
115	2012-03-29 02:44:43	1332981883	Love	Andmoreagain	GB
100	2012-02-09 01:04:44	1328745884	M83	Reunion	GB
668	2012-02-09 02:40:26	1328751626	Michael Kiwanuka	Home Again	GB
592	2012-03-29 04:01:28	1332986488	Michael Kiwanuka	I'm Getting Ready	GB
219	2012-02-09 01:26:32	1328747192	Mint Royal	Don't Falter	GB
697	2012-03-29 04:21:32	1332987692	Mumford & Sons	White Blank Page	GB
495	2012-03-29 03:48:14	1332985694	Nadia Ali	Rapture	GB
831	2012-02-09 03:08:22	1328753302	Neil Diamond	Cherry Cherry	GB
134	2012-03-29 02:48:41	1332982121	Nelly Furtado	I'm Like a Bird	GB
146	2012-02-09 01:13:30	1328746410	Nerina Pallot	All Bets Are Off	GB
851	2012-02-09 03:12:57	1328753577	Nerina Pallot	All Bets Are Off	GB
862	2012-01-20 13:29:00	1327062540	Noah & The Whale	Give It All Back	GB
397	2012-02-09 01:55:54	1328748954	Oasis	Morning Glory	GB
989	2012-01-20 13:47:20	1327063640	Olly Murs	Dance With Me Tonight	GB
31	2012-03-29 02:25:22	1332980722	One Night Only	Say You Don't Want It	GB
159	2012-03-29 02:54:15	1332982455	Paul Weller	That Dangerous Age	GB
815	2012-03-29 04:40:49	1332988849	Paula Cole	Where Have All the Cowboys Gone	GB
698	2012-02-09 02:44:04	1328751844	Peter Gabriel	Games Without Frontiers	GB
907	2012-01-20 13:34:09	1327062849	Pixie Lott	Till the Sun Comes Out	GB
175	2012-03-29 02:57:33	1332982653	Prince	I Would Die 4 U	GB
933	2012-01-20 13:40:06	1327063206	Pulled Apart By Horses	V.E.N.O.M	GB
352	2012-02-09 01:48:26	1328748506	Pulp	Help the Aged	GB
895	2012-02-09 03:23:04	1328754184	Reba McEntire	Turn on the Radio	GB
871	2012-02-09 03:18:15	1328753895	Redshape	The Land	GB
285	2012-03-29 03:19:24	1332983964	Rustie	Surph	GB
324	2012-03-29 03:23:54	1332984234	Sean Paul	She Doesn't Mind	GB
445	2012-03-29 03:42:06	1332985326	Strawberry Switchblade	Dance	GB
480	2012-03-29 03:46:28	1332985588	Strawberry Switchblade	By the Sea	GB
821	2012-03-29 04:41:30	1332988890	Swedish House Mafia	Greyhound	GB
604	2012-08-01 14:28:44	1343824124	SWV	Do Ya	GB
905	2012-01-20 13:33:43	1327062823	Taio Cruz	Troublemaker	GB
659	2012-02-09 02:39:14	1328751554	Tavares	More Than a Woman	GB
485	2012-02-09 02:09:12	1328749752	Temptations	The Way You do the Things You Do	GB
935	2012-02-09 03:31:52	1328754712	Texas	Summer Son	GB
47	2012-02-09 00:56:14	1328745374	The Bees	Chicken Payback	GB
597	2012-02-09 02:26:32	1328750792	The Charlatans	Then	GB
239	2012-08-01 20:15:31	1343844931	The Click Five	Say Goodnight	GB
801	2012-02-09 03:03:49	1328753029	The Cure	Friday I'm in Love	GB
639	2012-02-09 02:35:20	1328751320	The Ronettes	Be My Baby	GB
340	2012-02-09 01:45:13	1328748313	The Twilight Sad	Another Bed	GB
791	2012-03-29 04:37:02	1332988622	The Vaccines	If You Wanna	GB
73	2012-03-29 02:34:59	1332981299	The Who	Baba O'Riley	GB
204	2012-03-29 03:04:01	1332983041	Three Dog Night	Mama Told Me Not to Come	GB
